95.25	0
96.4311	1.23952
97.7512	2.47904
99.0713	3.99401
100.461	5.44012
101.781	7.02395
103.24	8.81437
104.56	10.3982
106.089	12.2575
107.339	14.3234
109.007	16.5958
110.396	18.524
111.717	20.5898
113.176	23.0689
114.496	25.1347
115.677	27.0629
116.511	28.9222
117.622	30.8503
118.942	33.1228
120.054	35.3263
121.374	38.0808
122.555	40.2844
123.528	42.5569
124.918	45.4491
126.168	48.2725
127.349	50.9581
128.53	54.2635
129.781	57.1557
130.615	59.6347
131.796	62.6647
133.116	66.0389
134.089	69.6198
135.2	72.1677
135.965	74.7844
136.868	77.6078
137.841	80.8443
138.813	83.8054
139.717	87.2485
140.481	90.0719
141.106	92.3443
142.009	95.4431
142.635	98.0599
143.26	100.883
143.816	103.5
144.372	105.979
145.066	109.009
145.553	111.144
146.248	114.38
146.873	117.548
147.429	120.784
147.985	123.401
148.54	126.225
148.957	128.91
149.374	131.389
149.861	134.557
150.416	137.793
150.833	140.823
151.25	144.473
151.389	145.988
151.945	148.192
152.153	150.671
152.223	152.392
152.709	154.665
152.918	157.075
153.126	159.416
153.543	162.446
153.751	165.132
153.96	167.542
154.099	170.159
154.307	172.638
154.655	175.53
154.724	177.596
155.002	179.799
155.071	181.796
155.21	183.862
155.28	186.066
155.419	188.545
155.627	191.162
155.766	194.192
155.836	196.877
155.975	199.15
156.044	201.835
156.183	203.763
156.183	205.829
156.253	208.102
156.392	210.305
156.392	212.578
156.531	214.299
156.531	216.228
156.531	218.638
156.6	221.117
156.6	223.389
156.6	225.249
156.6	227.796
156.6	230
